hcpc_code_id,short_description,long_description
44120,Removal of small intestine,"ENTERECTOMY, RESECTION OF SMALL INTESTINE; SINGLE RESECTION AND ANASTOMOSIS"
44121,Removal of small intestine,"ENTERECTOMY, RESECTION OF SMALL INTESTINE; EACH ADDITIONAL RESECTION AND ANASTOMOSIS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
44125,Removal of small intestine,"ENTERECTOMY, RESECTION OF SMALL INTESTINE; WITH ENTEROSTOMY"
44126,Enterectomy w/o taper cong,"ENTERECTOMY, RESECTION OF SMALL INTESTINE FOR CONGENITAL ATRESIA, SINGLE RESECTION AND ANASTOMOSIS OF PROXIMAL SEGMENT OF INTESTINE; WITHOUT TAPERING"
44127,Enterectomy w/taper cong,"ENTERECTOMY, RESECTION OF SMALL INTESTINE FOR CONGENITAL ATRESIA, SINGLE RESECTION AND ANASTOMOSIS OF PROXIMAL SEGMENT OF INTESTINE; WITH TAPERING"
44128,Enterectomy cong add-on,"ENTERECTOMY, RESECTION OF SMALL INTESTINE FOR CONGENITAL ATRESIA, SINGLE RESECTION AND ANASTOMOSIS OF PROXIMAL SEGMENT OF INTESTINE; EACH ADDITIONAL RESECTION AND ANASTOMOSIS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
44130,Bowel to bowel fusion,"ENTEROENTEROSTOMY, ANASTOMOSIS OF INTESTINE, WITH OR WITHOUT CUTANEOUS ENTEROSTOMY (SEPARATE PROCEDURE)"
44132,Enterectomy cadaver donor,"DONOR ENTERECTOMY (INCLUDING COLD PRESERVATION), OPEN; FROM CADAVER DONOR"
44133,Enterectomy live donor,"DONOR ENTERECTOMY (INCLUDING COLD PRESERVATION), OPEN; PARTIAL, FROM LIVING DONOR"
44135,Intestine transplnt cadaver,INTESTINAL ALLOTRANSPLANTATION; FROM CADAVER DONOR
44136,Intestine transplant live,INTESTINAL ALLOTRANSPLANTATION; FROM LIVING DONOR
44137,Remove intestinal allograft,"REMOVAL OF TRANSPLANTED INTESTINAL ALLOGRAFT, COMPLETE"
44139,Mobilization of colon,MOBILIZATION (TAKE-DOWN) OF SPLENIC FLEXURE PERFORMED IN CONJUNCTION WITH PARTIAL COLECTOMY (LIST SEPARATELY IN ADDITION TO PRIMARY PROCEDURE)
44140,Partial removal of colon,"COLECTOMY, PARTIAL; WITH ANASTOMOSIS"
44141,Partial removal of colon,"COLECTOMY, PARTIAL; WITH SKIN LEVEL CECOSTOMY OR COLOSTOMY"
44143,Partial removal of colon,"COLECTOMY, PARTIAL; WITH END COLOSTOMY AND CLOSURE OF DISTAL SEGMENT (HARTMANN TYPE PROCEDURE)"
44144,Partial removal of colon,"COLECTOMY, PARTIAL; WITH RESECTION, WITH COLOSTOMY OR ILEOSTOMY AND CREATION OF MUCOFISTULA"
44145,Partial removal of colon,"COLECTOMY, PARTIAL; WITH COLOPROCTOSTOMY (LOW PELVIC ANASTOMOSIS)"
44146,Partial removal of colon,"COLECTOMY, PARTIAL; WITH COLOPROCTOSTOMY (LOW PELVIC ANASTOMOSIS), WITH COLOSTOMY"
44147,Partial removal of colon,"COLECTOMY, PARTIAL; ABDOMINAL AND TRANSANAL APPROACH"
44150,Removal of colon,"COLECTOMY, TOTAL, ABDOMINAL, WITHOUT PROCTECTOMY; WITH ILEOSTOMY OR ILEOPROCTOSTOMY"
44151,Removal of colon/ileostomy,"COLECTOMY, TOTAL, ABDOMINAL, WITHOUT PROCTECTOMY; WITH CONTINENT ILEOSTOMY"
44155,Removal of colon/ileostomy,"COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY; WITH ILEOSTOMY"
44156,Removal of colon/ileostomy,"COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY; WITH CONTINENT ILEOSTOMY"
44157,Colectomy w/ileoanal anast,"COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY; WITH ILEOANAL ANASTOMOSIS, INCLUDES LOOP ILEOSTOMY, AND RECTAL MUCOSECTOMY, WHEN PERFORMED"
44158,Colectomy w/neo-rectum pouch,"COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY; WITH ILEOANAL ANASTOMOSIS, CREATION OF ILEAL RESERVOIR (S OR J), INCLUDES LOOP ILEOSTOMY, AND RECTAL MUCOSECTOMY, WHEN PERFORMED"
44160,Removal of colon,"COLECTOMY, PARTIAL, WITH REMOVAL OF TERMINAL ILEUM WITH ILEOCOLOSTOMY"
44180,Lap enterolysis,"LAPAROSCOPY, SURGICAL, ENTEROLYSIS (FREEING OF INTESTINAL ADHESION) (SEPARATE PROCEDURE)"
44186,Lap jejunostomy,"LAPAROSCOPY, SURGICAL; JEJUNOSTOMY (EG, FOR DECOMPRESSION OR FEEDING)"
44187,Lap ileo/jejuno-stomy,"LAPAROSCOPY, SURGICAL; ILEOSTOMY OR JEJUNOSTOMY, NON-TUBE"
44188,Lap colostomy,"LAPAROSCOPY, SURGICAL, COLOSTOMY OR SKIN LEVEL CECOSTOMY"
44202,Lap enterectomy,"LAPAROSCOPY, SURGICAL; ENTERECTOMY, RESECTION OF SMALL INTESTINE, SINGLE RESECTION AND ANASTOMOSIS"
44203,Lap resect s/intestine addl,"LAPAROSCOPY, SURGICAL; EACH ADDITIONAL SMALL INTESTINE RESECTION AND ANASTOMOSIS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
44204,Laparo partial colectomy,"LAPAROSCOPY, SURGICAL; COLECTOMY, PARTIAL, WITH ANASTOMOSIS"
44205,Lap colectomy part w/ileum,"LAPAROSCOPY, SURGICAL; COLECTOMY, PARTIAL, WITH REMOVAL OF TERMINAL ILEUM WITH ILEOCOLOSTOMY"
44206,Lap part colectomy w/stoma,"LAPAROSCOPY, SURGICAL; COLECTOMY, PARTIAL, WITH END COLOSTOMY AND CLOSURE OF DISTAL SEGMENT (HARTMANN TYPE PROCEDURE)"
44207,L colectomy/coloproctostomy,"LAPAROSCOPY, SURGICAL; COLECTOMY, PARTIAL, WITH ANASTOMOSIS, WITH COLOPROCTOSTOMY (LOW PELVIC ANASTOMOSIS)"
44208,L colectomy/coloproctostomy,"LAPAROSCOPY, SURGICAL; COLECTOMY, PARTIAL, WITH ANASTOMOSIS, WITH COLOPROCTOSTOMY (LOW PELVIC ANASTOMOSIS) WITH COLOSTOMY"
44210,Laparo total proctocolectomy,"LAPAROSCOPY, SURGICAL; COLECTOMY, TOTAL, ABDOMINAL, WITHOUT PROCTECTOMY, WITH ILEOSTOMY OR ILEOPROCTOSTOMY"
44211,Lap colectomy w/proctectomy,"LAPAROSCOPY, SURGICAL; COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY, WITH ILEOANAL ANASTOMOSIS, CREATION OF ILEAL RESERVOIR (S OR J), WITH LOOP ILEOSTOMY, INCLUDES RECTAL MUCOSECTOMY, WHEN PERFORMED"
44212,Laparo total proctocolectomy,"LAPAROSCOPY, SURGICAL; COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY, WITH ILEOSTOMY"
44213,Lap mobil splenic fl add-on,"LAPAROSCOPY, SURGICAL, MOBILIZATION (TAKE-DOWN) OF SPLENIC FLEXURE PERFORMED IN CONJUNCTION WITH PARTIAL COLECTOMY (LIST SEPARATELY IN ADDITION TO PRIMARY PROCEDURE)"
44227,Lap close enterostomy,"LAPAROSCOPY, SURGICAL, CLOSURE OF ENTEROSTOMY, LARGE OR SMALL INTESTINE, WITH RESECTION AND ANASTOMOSIS"
44238,Laparoscope proc intestine,"UNLISTED LAPAROSCOPY PROCEDURE, INTESTINE (EXCEPT RECTUM)"
44300,Open bowel to skin,"PLACEMENT, ENTEROSTOMY OR CECOSTOMY, TUBE OPEN (EG, FOR FEEDING OR DECOMPRESSION) (SEPARATE PROCEDURE)"
44310,Ileostomy/jejunostomy,"ILEOSTOMY OR JEJUNOSTOMY, NON-TUBE"
44312,Revision of ileostomy,REVISION OF ILEOSTOMY; SIMPLE (RELEASE OF SUPERFICIAL SCAR) (SEPARATE PROCEDURE)
44314,Revision of ileostomy,REVISION OF ILEOSTOMY; COMPLICATED (RECONSTRUCTION IN-DEPTH) (SEPARATE PROCEDURE)
44316,Devise bowel pouch,CONTINENT ILEOSTOMY (KOCK PROCEDURE) (SEPARATE PROCEDURE)
44320,Colostomy,COLOSTOMY OR SKIN LEVEL CECOSTOMY;
44322,Colostomy with biopsies,"COLOSTOMY OR SKIN LEVEL CECOSTOMY; WITH MULTIPLE BIOPSIES (EG, FOR CONGENITAL MEGACOLON) (SEPARATE PROCEDURE)"
44340,Revision of colostomy,REVISION OF COLOSTOMY; SIMPLE (RELEASE OF SUPERFICIAL SCAR) (SEPARATE PROCEDURE)
44345,Revision of colostomy,REVISION OF COLOSTOMY; COMPLICATED (RECONSTRUCTION IN-DEPTH) (SEPARATE PROCEDURE)
44346,Revision of colostomy,REVISION OF COLOSTOMY; WITH REPAIR OF PARACOLOSTOMY HERNIA (SEPARATE PROCEDURE)
44360,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING (SEPARATE PROCEDURE)"
44360,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
44361,Small bowel endoscopy/biopsy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH BIOPSY, SINGLE OR MULTIPLE"
44363,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH REMOVAL OF FOREIGN BODY"
44363,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH REMOVAL OF FOREIGN BODY(S)"
44364,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY SNARE TECHNIQUE"
44365,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY HOT BIOPSY FORCEPS OR BIPOLAR CAUTERY"
44366,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH CONTROL OF BLEEDING (EG, INJECTION, BIPOLAR CAUTERY, UNIPOLAR CAUTERY, LASER, HEATER PROBE, STAPLER, PLASMA COAGULATOR)"
44369,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHNIQUE"
44370,Small bowel endoscopy/stent,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)"
44372,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH PLACEMENT OF PERCUTANEOUS JEJUNOSTOMY TUBE"
44373,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, NOT INCLUDING ILEUM; WITH CONVERSION OF PERCUTANEOUS GASTROSTOMY TUBE TO PERCUTANEOUS JEJUNOSTOMY TUBE"
44376,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, INCLUDING ILEUM; DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING (SEPARATE PROCEDURE)"
44377,Small bowel endoscopy/biopsy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, INCLUDING ILEUM; WITH BIOPSY, SINGLE OR MULTIPLE"
44378,Small bowel endoscopy,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, INCLUDING ILEUM; WITH CONTROL OF BLEEDING (EG, INJECTION, BIPOLAR CAUTERY, UNIPOLAR CAUTERY, LASER, HEATER PROBE, STAPLER, PLASMA COAGULATOR)"
44379,S bowel endoscope w/stent,"SMALL INTESTINAL ENDOSCOPY, ENTEROSCOPY BEYOND SECOND PORTION OF DUODENUM, INCLUDING ILEUM; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)"
44380,Small bowel endoscopy,"ILEOSCOPY, THROUGH STOMA; DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING (SEPARATE PROCEDURE)"
44380,Small bowel endoscopy br/wa,"ILEOSCOPY, THROUGH STOMA; DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
44381,Small bowel endoscopy br/wa,"ILEOSCOPY, THROUGH STOMA; WITH TRANSENDOSCOPIC BALLOON DILATION"
44382,Small bowel endoscopy,"ILEOSCOPY, THROUGH STOMA; WITH BIOPSY, SINGLE OR MULTIPLE"
44383,Ileoscopy w/stent,"ILEOSCOPY, THROUGH STOMA; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)"
44384,Small bowel endoscopy,"ILEOSCOPY, THROUGH STOMA; WITH PLACEMENT OF ENDOSCOPIC STENT (INCLUDES PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
44385,Endoscopy of bowel pouch,"ENDOSCOPIC EVALUATION OF SMALL INTESTINAL (ABDOMINAL OR PELVIC) POUCH; DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING (SEPARATE PROCEDURE)"
44385,Endoscopy of bowel pouch,"ENDOSCOPIC EVALUATION OF SMALL INTESTINAL POUCH (EG, KOCK POUCH, ILEAL RESERVOIR [S OR J]); DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
44386,Endoscopy bowel pouch/biop,"ENDOSCOPIC EVALUATION OF SMALL INTESTINAL (ABDOMINAL OR PELVIC) POUCH; WITH BIOPSY, SINGLE OR MULTIPLE"
44386,Endoscopy bowel pouch/biop,"ENDOSCOPIC EVALUATION OF SMALL INTESTINAL POUCH (EG, KOCK POUCH, ILEAL RESERVOIR [S OR J]); WITH BIOPSY, SINGLE OR MULTIPLE"
44388,Colonoscopy,"COLONOSCOPY THROUGH STOMA; DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING (SEPARATE PROCEDURE)"
44388,Colonoscopy thru stoma spx,"COLONOSCOPY THROUGH STOMA; DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
44389,Colonoscopy with biopsy,"COLONOSCOPY THROUGH STOMA; WITH BIOPSY, SINGLE OR MULTIPLE"
44390,Colonoscopy for foreign body,COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF FOREIGN BODY
44390,Colonoscopy for foreign body,COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF FOREIGN BODY(S)
44391,Colonoscopy for bleeding,"COLONOSCOPY THROUGH STOMA; WITH CONTROL OF BLEEDING (EG, INJECTION, BIPOLAR CAUTERY, UNIPOLAR CAUTERY, LASER, HEATER PROBE, STAPLER, PLASMA COAGULATOR)"
44391,Colonoscopy for bleeding,"COLONOSCOPY THROUGH STOMA; WITH CONTROL OF BLEEDING, ANY METHOD"
44392,Colonoscopy & polypectomy,"COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY HOT BIOPSY FORCEPS OR BIPOLAR CAUTERY"
44392,Colonoscopy & polypectomy,"COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY HOT BIOPSY FORCEPS"
44393,Colonoscopy lesion removal,"COLONOSCOPY THROUGH STOMA; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHNIQUE"
44394,Colonoscopy w/snare,"COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY SNARE TECHNIQUE"
44397,Colonoscopy w/stent,COLONOSCOPY THROUGH STOMA; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)
44401,Colonoscopy with ablation,"COLONOSCOPY THROUGH STOMA; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) (INCLUDES PRE-AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
44402,Colonoscopy w/stent plcmt,"COLONOSCOPY THROUGH STOMA; WITH ENDOSCOPIC STENT PLACEMENT (INCLUDING PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
44403,Colonoscopy w/resection,COLONOSCOPY THROUGH STOMA; WITH ENDOSCOPIC MUCOSAL RESECTION
44404,Colonoscopy w/injection,"COLONOSCOPY THROUGH STOMA; WITH DIRECTED SUBMUCOSAL INJECTION(S), ANY SUBSTANCE"
44405,Colonoscopy w/dilation,COLONOSCOPY THROUGH STOMA; WITH TRANSENDOSCOPIC BALLOON DILATION
44406,Colonoscopy w/ultrasound,"COLONOSCOPY THROUGH STOMA; WITH ENDOSCOPIC ULTRASOUND EXAMINATION, LIMITED TO THE SIGMOID, DESCENDING, TRANSVERSE, OR ASCENDING COLON AND CECUM AND ADJACENT STRUCTURES"
44407,Colonoscopy w/ndl aspir/bx,"COLONOSCOPY THROUGH STOMA; WITH TRANSENDOSCOPIC ULTRASOUND GUIDED INTRAMURAL OR TRANSMURAL FINE NEEDLE ASPIRATION/BIOPSY(S), INCLUDES ENDOSCOPIC ULTRASOUND EXAMINATION LIMITED TO THE SIGMOID, DESCENDING, TRANSVERSE, OR ASCENDING COLON AND CECUM AND ADJACENT STRUCTURES"
44408,Colonoscopy w/decompression,"COLONOSCOPY THROUGH STOMA; WITH DECOMPRESSION (FOR PATHOLOGIC DISTENTION) (EG, VOLVULUS, MEGACOLON), INCLUDING PLACEMENT OF DECOMPRESSION TUBE, WHEN PERFORMED"
44500,Intro gastrointestinal tube,"INTRODUCTION OF LONG GASTROINTESTINAL TUBE (EG, MILLER-ABBOTT) (SEPARATE PROCEDURE)"
4450F,Self-care ed provided to pt,SELF-CARE EDUCATION PROVIDED TO PATIENT (HF)
44602,Suture small intestine,"SUTURE OF SMALL INTESTINE (ENTERORRHAPHY) FOR PERFORATED ULCER, DIVERTICULUM, WOUND, INJURY OR RUPTURE; SINGLE PERFORATION"
44603,Suture small intestine,"SUTURE OF SMALL INTESTINE (ENTERORRHAPHY) FOR PERFORATED ULCER, DIVERTICULUM, WOUND, INJURY OR RUPTURE; MULTIPLE PERFORATIONS"
44604,Suture large intestine,"SUTURE OF LARGE INTESTINE (COLORRHAPHY) FOR PERFORATED ULCER, DIVERTICULUM, WOUND, INJURY OR RUPTURE (SINGLE OR MULTIPLE PERFORATIONS); WITHOUT COLOSTOMY"
44605,Repair of bowel lesion,"SUTURE OF LARGE INTESTINE (COLORRHAPHY) FOR PERFORATED ULCER, DIVERTICULUM, WOUND, INJURY OR RUPTURE (SINGLE OR MULTIPLE PERFORATIONS); WITH COLOSTOMY"
44615,Intestinal stricturoplasty,"INTESTINAL STRICTUROPLASTY (ENTEROTOMY AND ENTERORRHAPHY) WITH OR WITHOUT DILATION, FOR INTESTINAL OBSTRUCTION"
44620,Repair bowel opening,"CLOSURE OF ENTEROSTOMY, LARGE OR SMALL INTESTINE;"
44625,Repair bowel opening,"CLOSURE OF ENTEROSTOMY, LARGE OR SMALL INTESTINE; WITH RESECTION AND ANASTOMOSIS OTHER THAN COLORECTAL"
44626,Repair bowel opening,"CLOSURE OF ENTEROSTOMY, LARGE OR SMALL INTESTINE; WITH RESECTION AND COLORECTAL ANASTOMOSIS (EG, CLOSURE OF HARTMANN TYPE PROCEDURE)"
44640,Repair bowel-skin fistula,CLOSURE OF INTESTINAL CUTANEOUS FISTULA
44650,Repair bowel fistula,CLOSURE OF ENTEROENTERIC OR ENTEROCOLIC FISTULA
44660,Repair bowel-bladder fistula,CLOSURE OF ENTEROVESICAL FISTULA; WITHOUT INTESTINAL OR BLADDER RESECTION
44661,Repair bowel-bladder fistula,CLOSURE OF ENTEROVESICAL FISTULA; WITH INTESTINE AND/OR BLADDER RESECTION
44680,Surgical revision intestine,INTESTINAL PLICATION (SEPARATE PROCEDURE)
44700,Suspend bowel w/prosthesis,"EXCLUSION OF SMALL INTESTINE FROM PELVIS BY MESH OR OTHER PROSTHESIS, OR NATIVE TISSUE (EG, BLADDER OR OMENTUM)"
44701,Intraop colon lavage add-on,INTRAOPERATIVE COLONIC LAVAGE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)
44705,Prepare fecal microbiota,"PREPARATION OF FECAL MICROBIOTA FOR INSTILLATION, INCLUDING ASSESSMENT OF DONOR SPECIMEN"
4470F,Icd counseling provided,IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR (ICD) COUNSELING PROVIDED (HF)
44715,Prepare donor intestine,"BACKBENCH STANDARD PREPARATION OF CADAVER OR LIVING DONOR INTESTINE ALLOGRAFT PRIOR TO TRANSPLANTATION, INCLUDING MOBILIZATION AND FASHIONING OF THE SUPERIOR MESENTERIC ARTERY AND VEIN"
44720,Prep donor intestine/venous,"BACKBENCH RECONSTRUCTION OF CADAVER OR LIVING DONOR INTESTINE ALLOGRAFT PRIOR TO TRANSPLANTATION; VENOUS ANASTOMOSIS, EACH"
44721,Prep donor intestine/artery,"BACKBENCH RECONSTRUCTION OF CADAVER OR LIVING DONOR INTESTINE ALLOGRAFT PRIOR TO TRANSPLANTATION; ARTERIAL ANASTOMOSIS, EACH"
44799,Unlisted procedure intestine,"UNLISTED PROCEDURE, INTESTINE"
44799,Unlisted px small intestine,"UNLISTED PROCEDURE, SMALL INTESTINE"
44800,Excision of bowel pouch,EXCISION OF MECKEL'S DIVERTICULUM (DIVERTICULECTOMY) OR OMPHALOMESENTERIC DUCT
4480F,Pt rcvng ace/arb b-blockertx,PATIENT RECEIVING ACE INHIBITOR/ARB THERAPY AND BETA-BLOCKER THERAPY FOR 3 MONTHS OR LONGER (HF)
4481F,Pt rcvng ace/arb blker >3mos,PATIENT RECEIVING ACE INHIBITOR/ARB THERAPY AND BETA-BLOCKER THERAPY FOR LESS THAN 3 MONTHS OR PATIENT NOT RECEIVING ACE INHIBITOR/ARB THERAPY AND BETA-BLOCKER THERAPY (HF)
44820,Excision of mesentery lesion,EXCISION OF LESION OF MESENTERY (SEPARATE PROCEDURE)
44850,Repair of mesentery,SUTURE OF MESENTERY (SEPARATE PROCEDURE)
44899,Bowel surgery procedure,"UNLISTED PROCEDURE, MECKEL'S DIVERTICULUM AND THE MESENTERY"
44900,Drain appendix abscess open,"INCISION AND DRAINAGE OF APPENDICEAL ABSCESS, OPEN"
44950,Appendectomy,APPENDECTOMY;
44955,Appendectomy add-on,APPENDECTOMY; WHEN DONE FOR INDICATED PURPOSE AT TIME OF OTHER MAJOR PROCEDURE (NOT AS SEPARATE PROCEDURE) (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)
44960,Appendectomy,APPENDECTOMY; FOR RUPTURED APPENDIX WITH ABSCESS OR GENERALIZED PERITONITIS
44970,Laparoscopy appendectomy,"LAPAROSCOPY, SURGICAL, APPENDECTOMY"
44979,Laparoscope proc app,"UNLISTED LAPAROSCOPY PROCEDURE, APPENDIX"
45000,Drainage of pelvic abscess,TRANSRECTAL DRAINAGE OF PELVIC ABSCESS
45005,Drainage of rectal abscess,"INCISION AND DRAINAGE OF SUBMUCOSAL ABSCESS, RECTUM"
4500F,Ref to outpt card rehab prog,REFERRED TO AN OUTPATIENT CARDIAC REHABILITATION PROGRAM (CAD)
45020,Drainage of rectal abscess,"INCISION AND DRAINAGE OF DEEP SUPRALEVATOR, PELVIRECTAL, OR RETRORECTAL ABSCESS"
45100,Biopsy of rectum,"BIOPSY OF ANORECTAL WALL, ANAL APPROACH (EG, CONGENITAL MEGACOLON)"
45108,Removal of anorectal lesion,ANORECTAL MYOMECTOMY
4510F,Prev cardrehab qualcardevent,PREVIOUS CARDIAC REHABILITATION FOR QUALIFYING CARDIAC EVENT COMPLETED (CAD)
45110,Removal of rectum,"PROCTECTOMY; COMPLETE, COMBINED ABDOMINOPERINEAL, WITH COLOSTOMY"
45111,Partial removal of rectum,"PROCTECTOMY; PARTIAL RESECTION OF RECTUM, TRANSABDOMINAL APPROACH"
45112,Removal of rectum,"PROCTECTOMY, COMBINED ABDOMINOPERINEAL, PULL-THROUGH PROCEDURE (EG, COLO-ANAL ANASTOMOSIS)"
45113,Partial proctectomy,"PROCTECTOMY, PARTIAL, WITH RECTAL MUCOSECTOMY, ILEOANAL ANASTOMOSIS, CREATION OF ILEAL RESERVOIR (S OR J), WITH OR WITHOUT LOOP ILEOSTOMY"
45114,Partial removal of rectum,"PROCTECTOMY, PARTIAL, WITH ANASTOMOSIS; ABDOMINAL AND TRANSSACRAL APPROACH"
45116,Partial removal of rectum,"PROCTECTOMY, PARTIAL, WITH ANASTOMOSIS; TRANSSACRAL APPROACH ONLY (KRASKE TYPE)"
45119,Remove rectum w/reservoir,"PROCTECTOMY, COMBINED ABDOMINOPERINEAL PULL-THROUGH PROCEDURE (EG, COLO-ANAL ANASTOMOSIS), WITH CREATION OF COLONIC RESERVOIR (EG, J-POUCH), WITH DIVERTING ENTEROSTOMY WHEN PERFORMED"
45120,Removal of rectum,"PROCTECTOMY, COMPLETE (FOR CONGENITAL MEGACOLON), ABDOMINAL AND PERINEAL APPROACH; WITH PULL-THROUGH PROCEDURE AND ANASTOMOSIS (EG, SWENSON, DUHAMEL, OR SOAVE TYPE OPERATION)"
45121,Removal of rectum and colon,"PROCTECTOMY, COMPLETE (FOR CONGENITAL MEGACOLON), ABDOMINAL AND PERINEAL APPROACH; WITH SUBTOTAL OR TOTAL COLECTOMY, WITH MULTIPLE BIOPSIES"
45123,Partial proctectomy,"PROCTECTOMY, PARTIAL, WITHOUT ANASTOMOSIS, PERINEAL APPROACH"
